Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Nice,1.80,1.09,0.71,1.77,0.83,0.94,0.03,0.25,-0.22,1.80,1.09,0.71,2,0,2,1.29,53.40,56.7,50.99,0.68,0.59,279,15,12,10,17.65,16.95,9.82,10,2,26,6,13,124.7,59.44,64.53,46.21,96.07,66.98,3,Angers SCO 0-2 Nice,2026-03-14
Angers SCO,1.09,1.80,-0.71,0.83,1.77,-0.94,0.25,0.03,0.22,1.09,1.80,-0.71,0,2,-2,-1.29,46.60,43.3,45.63,0.59,0.68,193,15,10,12,16.95,17.65,15.11,2,10,26,7,10,85.1,40.56,75.13,53.79,47.37,33.02,1,Angers SCO 0-2 Nice,2026-03-14
Lens,1.57,2.05,-0.48,1.13,1.05,0.08,0.44,1.00,-0.56,1.57,2.05,-0.48,1,2,-1,-0.52,66.20,78.27,58.64,1.3,0.39,497,23,20,6,15.38,15.38,10.10,5,5,59,10,11,353.7,92.37,29.27,23.73,283.3,89.12,0,Lorient 2-1 Lens,2026-03-14
Lorient,2.05,1.57,0.48,1.05,1.13,-0.08,1.00,0.44,0.56,2.05,1.57,0.48,2,1,1,0.52,33.80,21.73,39.65,0.39,1.3,116,4,6,20,15.38,15.38,21.29,5,5,5,1,6,29.2,7.63,94.07,76.27,34.6,10.88,0,Lorient 2-1 Lens,2026-03-14
Auxerre,0.44,0.97,-0.53,0.26,0.79,-0.53,0.18,0.18,0.0,0.44,0.97,-0.53,0,1,-1,-0.47,42.0,34.16,47.66,0.22,0.35,200,3,8,16,36.36,45.71,12.97,3,6,11,2,17,58.9,24.09,84.73,72.88,55.4,29.8,1,Olympique Marseille 1-0 Auxerre,2026-03-13
Olympique Marseille,0.97,0.44,0.53,0.79,0.26,0.53,0.18,0.18,0.0,0.97,0.44,0.53,1,0,1,0.47,58.0,65.84,50.81,0.35,0.22,297,8,16,8,45.71,36.36,7.72,6,3,22,9,12,185.6,75.91,31.53,27.12,130.5,70.2,0,Olympique Marseille 1-0 Auxerre,2026-03-13
Paris FC,1.98,2.03,-0.05,1.39,1.27,0.12,0.59,0.0,0.59,1.98,1.27,0.71,1,1,0,0.05,38.1,31.04,42.85,0.53,1.13,139,13,14,14,26.42,12.39,24.42,0,6,10,2,9,57.8,31.23,73.13,73.23,79.57,49.66,0,Olympique Lyonnais 1-1 Paris FC,2026-03-08
Olympique Lyonnais,2.03,1.98,0.05,1.27,1.39,-0.12,0.0,0.59,-0.59,1.27,1.98,-0.71,1,1,0,-0.05,61.9,68.96,52.1,1.13,0.53,325,15,14,14,12.39,26.42,13.91,6,0,40,8,7,127.3,68.77,26.73,26.77,80.67,50.34,0,Olympique Lyonnais 1-1 Paris FC,2026-03-08
Lorient,0.65,0.9,-0.25,0.65,0.85,-0.2,0.0,0.04,-0.04,0.65,0.9,-0.25,1,1,0,0.25,42.2,24.07,38.76,0.12,0.64,124,4,9,12,75.0,18.75,13.96,0,11,9,1,13,17.3,9.11,46.67,40.99,18.7,8.11,0,Lille 1-1 Lorient,2026-03-08
Lille,0.9,0.65,0.25,0.85,0.65,0.2,0.04,0.0,0.04,0.9,0.65,0.25,1,1,0,-0.25,57.8,75.93,54.96,0.64,0.12,341,14,12,9,18.75,75.0,9.68,11,0,22,5,14,172.5,90.89,67.2,59.01,211.93,91.89,0,Lille 1-1 Lorient,2026-03-08
Rennes,2.04,1.73,0.31,1.28,0.78,0.5,0.0,0.94,-0.94,1.28,1.73,-0.45,4,0,4,3.69,59.0,50.51,42.53,0.36,0.86,214,7,12,14,33.33,16.28,11.45,6,4,7,1,8,103.8,56.75,11.0,8.25,67.93,46.04,2,Nice 0-4 Rennes,2026-03-08
Nice,1.73,2.04,-0.31,0.78,1.28,-0.5,0.94,0.0,0.94,1.73,1.28,0.45,0,4,-4,-3.69,41.0,49.49,46.85,0.86,0.36,188,9,14,12,16.28,33.33,20.33,4,6,27,7,9,79.1,43.25,122.4,91.75,79.63,53.96,0,Nice 0-4 Rennes,2026-03-08
Le Havre,1.29,2.64,-1.35,1.29,2.56,-1.27,0.0,0.08,-0.08,1.29,2.64,-1.35,0,2,-2,-0.65,58.1,58.48,45.51,0.71,0.95,211,12,14,11,19.72,11.58,8.75,4,8,24,3,17,133.5,74.13,20.27,19.16,85.87,50.52,0,Brest 2-0 Le Havre,2026-03-08
Brest,2.64,1.29,1.35,2.56,1.29,1.27,0.08,0.0,0.08,2.64,1.29,1.35,2,0,2,0.65,41.9,41.52,44.52,0.95,0.71,155,12,11,14,11.58,19.72,8.94,8,4,13,1,15,46.6,25.87,85.53,80.84,84.1,49.48,5,Brest 2-0 Le Havre,2026-03-08
Metz,0.37,3.11,-2.74,0.33,2.81,-2.48,0.04,0.3,-0.26,0.37,3.11,-2.74,0,3,-3,-0.26,48.5,48.52,44.88,0.39,1.69,191,7,5,24,12.82,14.2,11.86,6,4,15,4,17,82.6,34.01,61.73,47.68,30.76,12.19,0,Lens 3-0 Metz,2026-03-08
Lens,3.11,0.37,2.74,2.81,0.33,2.48,0.3,0.04,0.26,3.11,0.37,2.74,3,0,3,0.26,51.5,51.48,47.28,1.69,0.39,236,31,24,5,14.2,12.82,10.08,4,6,26,6,12,160.3,65.99,67.73,52.32,221.6,87.81,0,Lens 3-0 Metz,2026-03-08
Olympique Marseille,1.28,1.44,-0.16,1.18,1.39,-0.21,0.1,0.05,0.05,1.28,1.44,-0.16,1,0,1,1.16,50.3,44.09,40.34,0.35,0.7,152,7,10,12,28.57,17.14,8.64,11,7,8,2,14,48.4,31.03,62.87,41.2,67.97,36.48,0,Toulouse 0-1 Olympique Marseille,2026-03-07
Toulouse,1.44,1.28,0.16,1.39,1.18,0.21,0.05,0.1,-0.05,1.44,1.28,0.16,0,1,-1,-1.16,49.7,55.91,47.75,0.7,0.35,218,15,12,10,17.14,28.57,10.65,7,11,15,4,15,107.6,68.97,89.73,58.8,118.33,63.52,2,Toulouse 0-1 Olympique Marseille,2026-03-07
Strasbourg,1.43,1.54,-0.11,1.39,1.3,0.09,0.05,0.24,-0.19,1.43,1.54,-0.11,0,0,0,0.11,72.3,59.48,43.78,0.35,0.43,264,8,13,10,37.14,23.26,6.87,4,4,16,4,11,106.7,66.56,0.27,0.13,20.3,10.61,0,Auxerre 0-0 Strasbourg,2026-03-07
Auxerre,1.54,1.43,0.11,1.3,1.39,-0.09,0.24,0.05,0.19,1.54,1.43,0.11,0,0,0,-0.11,27.7,40.52,50.18,0.43,0.35,127,8,10,13,23.26,37.14,19.26,4,4,21,5,10,53.6,33.44,204.13,99.87,171.07,89.39,0,Auxerre 0-0 Strasbourg,2026-03-07
Angers SCO,0.74,0.73,0.01,0.62,0.73,-0.11,0.12,0.0,0.12,0.74,0.73,0.01,1,0,1,0.99,51.2,44.06,40.87,0.68,1.21,134,9,11,13,16.18,10.74,11.23,1,5,15,4,19,79.1,49.25,76.4,48.66,87.6,53.61,0,Nantes 0-1 Angers SCO,2026-03-07
Nantes,0.73,0.74,-0.01,0.73,0.62,0.11,0.0,0.12,-0.12,0.73,0.74,-0.01,0,1,-1,-0.99,48.8,55.94,47.27,1.21,0.68,209,17,13,11,10.74,16.18,8.32,5,1,35,3,14,81.5,50.75,80.6,51.34,75.8,46.39,2,Nantes 0-1 Angers SCO,2026-03-07
Monaco,1.25,2.12,-0.87,0.88,2.03,-1.15,0.36,0.09,0.27,1.25,2.12,-0.87,3,1,2,2.87,28.9,20.28,46.02,0.65,1.12,124,12,11,20,16.92,17.86,15.48,8,9,9,3,6,14.8,4.28,183.93,99.67,90.33,49.43,1,PSG 1-3 Monaco,2026-03-06
PSG,2.12,1.25,0.87,2.03,0.88,1.15,0.09,0.36,-0.27,2.12,1.25,0.87,1,3,-2,-2.87,71.1,79.72,55.43,1.12,0.65,451,28,20,11,17.86,16.92,6.89,9,8,18,7,12,331.2,95.72,0.6,0.33,92.4,50.57,0,PSG 1-3 Monaco,2026-03-06
Olympique Lyonnais,2.7,1.97,0.73,2.7,1.69,1.01,0.0,0.29,-0.29,2.7,1.97,0.73,2,3,-1,-1.73,48.0,38.94,42.83,0.69,1.34,158,11,12,18,17.39,13.43,15.83,3,9,9,1,8,50.0,25.43,50.6,59.86,62.87,37.59,0,Olympique Marseille 3-2 Olympique Lyonnais,2026-03-01
Olympique Marseille,1.97,2.7,-0.73,1.69,2.7,-1.01,0.29,0.0,0.29,1.97,2.7,-0.73,3,2,1,1.73,52.0,61.06,46.44,1.34,0.69,223,22,18,12,13.43,17.39,11.28,9,3,21,8,16,146.6,74.57,33.93,40.14,104.4,62.41,0,Olympique Marseille 3-2 Olympique Lyonnais,2026-03-01
Nantes,0.68,0.94,-0.26,0.68,0.76,-0.08,0.0,0.18,-0.18,0.68,0.94,-0.26,0,1,-1,-0.74,27.9,25.61,43.19,0.15,0.65,88,3,3,9,20.0,13.85,18.79,4,6,6,1,15,6.9,3.81,119.2,96.49,48.87,32.46,2,Lille 1-0 Nantes,2026-03-01
Lille,0.94,0.68,0.26,0.76,0.68,0.08,0.18,0.0,0.18,0.94,0.68,0.26,1,0,1,0.74,72.1,74.39,48.46,0.65,0.15,296,11,9,3,13.85,20.0,5.46,6,4,20,4,11,174.2,96.19,4.33,3.51,101.7,67.54,0,Lille 1-0 Nantes,2026-03-01
Brest,0.79,1.72,-0.93,0.79,1.08,-0.29,0.0,0.64,-0.64,0.79,1.72,-0.93,1,0,1,1.93,34.7,26.19,41.37,0.65,1.07,113,6,6,24,9.23,22.43,13.47,2,14,6,4,11,24.9,8.31,94.13,73.65,33.07,14.18,1,Metz 0-1 Brest,2026-03-01
Metz,1.72,0.79,0.93,1.08,0.79,0.29,0.64,0.0,0.64,1.72,0.79,0.93,0,1,-1,-1.93,65.3,73.81,55.58,1.07,0.65,404,16,24,6,22.43,9.23,6.32,14,2,44,12,14,274.8,91.69,33.67,26.35,200.2,85.82,1,Metz 0-1 Brest,2026-03-01
Auxerre,1.64,1.4,0.24,1.32,1.33,-0.01,0.32,0.07,0.25,1.64,1.4,0.24,2,2,0,-0.24,49.7,57.86,51.2,0.78,0.88,260,14,10,15,12.82,17.05,12.88,6,2,19,7,10,75.6,59.29,83.07,75.29,117.27,78.68,0,Lorient 2-2 Auxerre,2026-03-01
Lorient,1.4,1.64,-0.24,1.33,1.32,0.01,0.07,0.32,-0.25,1.4,1.64,-0.24,2,2,0,0.24,50.3,42.14,42.47,0.88,0.78,189,11,15,10,17.05,12.82,13.79,2,6,18,3,11,51.9,40.71,27.27,24.71,31.77,21.32,0,Lorient 2-2 Auxerre,2026-03-01
Nice,1.34,1.41,-0.07,1.17,1.04,0.13,0.16,0.37,-0.21,1.34,1.41,-0.07,0,1,-1,-0.93,60.3,61.06,47.66,1.05,0.32,252,17,11,16,10.48,50.0,15.65,2,1,31,6,8,92.8,62.75,14.87,14.19,49.9,31.25,2,Paris FC 1-0 Nice,2026-03-01
Paris FC,1.41,1.34,0.07,1.04,1.17,-0.13,0.37,0.16,0.21,1.41,1.34,0.07,1,0,1,0.93,39.7,38.94,44.52,0.32,1.05,155,10,16,11,50.0,10.48,20.0,1,2,12,8,7,55.1,37.25,89.93,85.81,109.77,68.75,1,Paris FC 1-0 Nice,2026-03-01
PSG,3.69,0.63,3.06,2.61,0.6,2.01,0.32,0.03,0.29,2.93,0.63,2.3,1,0,1,-2.06,67.0,71.47,52.67,1.01,0.41,412,24,22,10,21.78,24.39,7.75,4,4,13,3,10,275.3,92.63,26.53,14.69,181.63,83.86,0,Le Havre 0-1 PSG,2026-02-28
Le Havre,0.63,3.69,-3.06,0.6,2.61,-2.01,0.03,0.32,-0.29,0.63,2.93,-2.3,0,1,-1,2.06,33.0,28.53,45.75,0.41,1.01,159,11,10,22,24.39,21.78,20.88,4,4,16,3,12,21.9,7.37,154.07,85.31,34.97,16.14,0,Le Havre 0-1 PSG,2026-02-28
Angers SCO,0.58,1.98,-1.4,0.58,1.85,-1.27,0.0,0.12,-0.12,0.58,1.98,-1.4,0,2,-2,-0.6,28.9,23.27,41.46,0.36,0.85,103,5,6,10,16.67,11.76,24.54,5,5,17,2,10,27.6,11.93,155.0,98.73,43.8,23.6,1,Monaco 2-0 Angers SCO,2026-02-28
Monaco,1.98,0.58,1.4,1.85,0.58,1.27,0.12,0.0,0.12,1.98,0.58,1.4,2,0,2,0.6,71.1,76.73,52.82,0.85,0.36,469,18,10,6,11.76,16.67,7.62,5,5,19,5,9,203.8,88.07,2.0,1.27,141.83,76.4,1,Monaco 2-0 Angers SCO,2026-02-28
Toulouse,0.73,1.37,-0.64,0.73,1.35,-0.62,0.0,0.02,-0.02,0.73,1.37,-0.64,0,1,-1,-0.36,34.7,39.08,47.79,0.27,0.51,165,7,9,10,33.33,19.61,16.54,7,6,9,1,13,61.5,32.61,166.2,98.42,126.17,67.43,2,Rennes 1-0 Toulouse,2026-02-28
Rennes,1.37,0.73,0.64,1.35,0.73,0.62,0.02,0.0,0.02,1.37,0.73,0.64,1,0,1,0.36,65.3,60.92,45.67,0.51,0.27,314,11,10,9,19.61,33.33,8.36,6,7,15,6,9,127.1,67.39,2.67,1.58,60.93,32.57,1,Rennes 1-0 Toulouse,2026-02-28
Lens,1.89,1.23,0.66,1.46,1.12,0.34,0.43,0.11,0.32,1.89,1.23,0.66,1,1,0,-0.66,44.5,63.2,46.85,1.26,0.26,211,20,25,8,19.84,30.77,13.45,11,7,24,8,8,174.0,80.37,95.53,84.64,226.2,89.51,0,Strasbourg 1-1 Lens,2026-02-27
Strasbourg,1.23,1.89,-0.66,1.12,1.46,-0.34,0.11,0.43,-0.32,1.23,1.89,-0.66,1,1,0,0.66,55.5,36.8,37.93,0.26,1.26,142,7,8,25,30.77,19.84,11.13,7,11,9,2,9,42.5,19.63,17.33,15.36,26.5,10.49,0,Strasbourg 1-1 Lens,2026-02-27
Olympique Lyonnais,0.25,3.01,-2.76,0.25,2.21,-1.96,0.0,0.04,-0.04,0.25,2.25,-2.0,1,3,-2,0.76,50.1,45.91,40.01,0.24,0.3,147,5,4,13,16.67,43.33,20.25,0,6,9,2,12,33.9,24.2,45.4,40.2,35.03,17.81,2,Strasbourg 3-1 Olympique Lyonnais,2026-02-22
Strasbourg,3.01,0.25,2.76,2.21,0.25,1.96,0.04,0.0,0.04,2.25,0.25,2.0,3,1,2,-0.76,49.9,54.09,42.34,0.3,0.24,170,9,13,4,43.33,16.67,13.47,6,0,15,4,11,106.2,75.8,67.53,59.8,161.7,82.19,1,Strasbourg 3-1 Olympique Lyonnais,2026-02-22
Lille,2.66,0.49,2.17,1.76,0.49,1.27,0.14,0.0,0.14,1.9,0.49,1.41,1,0,1,-1.17,53.6,60.73,46.44,1.01,0.5,238,22,14,5,13.86,10.0,9.6,12,2,18,7,11,154.5,80.47,41.6,35.66,146.33,76.24,0,Angers SCO 0-1 Lille,2026-02-22
